imageX,imageY,pixel RGB,Increasing Interval M,Smallest Grade M,Closest Color,Explanation(Distance)
7,8,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
7,9,"(241,56,245)","Purple Pizzazz(254,78,218)","Razzle Dazzle Rose(255,51,204)","Purple Pizzazz(254,78,218)",37.175
8,0,"(114,119,116)","Aurometalsaurus(110,127,128)","Xanadu(115,134,120)","Aurometalsaurus(110,127,128)",14.967
8,1,"(202,201,201)","Pastel Gray(207,207,196)","Pastel Gray(207,207,196)","Pastel Gray(207,207,196)",9.274
8,2,"(63,63,63)","Black Olive(59,60,54)","Black Olive(59,60,54)","Black Olive(59,60,54)",10.296
8,3,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
8,4,"(127,127,127)","Gray(128,128,128)","Gray(128,128,128)","Gray(128,128,128)",1.732
8,5,"(255,201,14)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)",5.385
8,6,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
8,7,"(241,56,245)","Purple Pizzazz(254,78,218)","Razzle Dazzle Rose(255,51,204)","Purple Pizzazz(254,78,218)",37.175
8,8,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
8,9,"(5,5,5)","Black(0,0,0)","Black(0,0,0)","Black(0,0,0)",8.660
9,0,"(241,56,245)","Purple Pizzazz(254,78,218)","Razzle Dazzle Rose(255,51,204)","Purple Pizzazz(254,78,218)",37.175
9,1,"(255,201,14)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)",5.385
9,2,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
9,3,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
9,4,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
9,5,"(153,217,234)","Non-Photo Blue(164,221,237)","Non-Photo Blue(164,221,237)","Non-Photo Blue(164,221,237)",12.083
9,6,"(34,177,76)","Lime Green(50,205,50)","Green (Pigment)(0,165,80)","Green (Pigment)(0,165,80)",36.277
9,7,"(34,177,76)","Lime Green(50,205,50)","Green (Pigment)(0,165,80)","Green (Pigment)(0,165,80)",36.277
9,8,"(34,177,76)","Lime Green(50,205,50)","Green (Pigment)(0,165,80)","Green (Pigment)(0,165,80)",36.277
9,9,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
10,0,"(241,56,245)","Purple Pizzazz(254,78,218)","Razzle Dazzle Rose(255,51,204)","Purple Pizzazz(254,78,218)",37.175
10,1,"(153,217,234)","Non-Photo Blue(164,221,237)","Non-Photo Blue(164,221,237)","Non-Photo Blue(164,221,237)",12.083
10,2,"(153,217,234)","Non-Photo Blue(164,221,237)","Non-Photo Blue(164,221,237)","Non-Photo Blue(164,221,237)",12.083
10,3,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
10,4,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
10,5,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
10,6,"(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)",0.000
10,7,"(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)",0.000
10,8,"(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)",0.000
10,9,"(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)",0.000
